iter	Logloss
0	0.4471540933
1	0.3322555924
2	0.2755466892
3	0.2411612452
4	0.2137571376
5	0.1917858796
6	0.1791799199
7	0.1679195438
8	0.1588920566
9	0.152614828
10	0.1492571633
11	0.145966459
12	0.141100823
13	0.1350014072
14	0.1318307643
15	0.1286228792
16	0.1228257708
17	0.1203436103
18	0.1167772555
19	0.1135254797
20	0.1106186631
21	0.1088623208
22	0.1057155126
23	0.1018707103
24	0.09897690177
25	0.09660806863
26	0.09394221847
27	0.09176325914
28	0.0904275011
29	0.08678541193
30	0.08415301503
31	0.08287611119
32	0.0812233391
33	0.08006683695
34	0.07731677405
35	0.07557556537
36	0.07341183024
37	0.07272425622
38	0.07165833981
39	0.07093952671
40	0.07003669473
41	0.06883391369
42	0.06774638363
43	0.0664909917
44	0.06585411127
45	0.0644560215
46	0.0632337202
47	0.06239417991
48	0.06113217178
49	0.0598021691
50	0.0586944414
51	0.05804123884
52	0.05731325784
53	0.05593368741
54	0.05540524319
55	0.05417657023
56	0.0539546519
57	0.05269329162
58	0.05214529384
59	0.05124747627
60	0.05054446482
61	0.04969691019
62	0.04853736547
63	0.04778692976
64	0.04681294975
65	0.04611658976
66	0.04548785905
67	0.04482969481
68	0.04418754257
69	0.04379203666
70	0.04318520166
71	0.04258900935
72	0.0419722406
73	0.04047535112
74	0.03973631802
75	0.03932342225
76	0.03895529188
77	0.03863010847
78	0.03790488612
79	0.03744952389
80	0.03696342946
81	0.03605446172
82	0.03512064033
83	0.03471336998
84	0.03398077217
85	0.0335640133
86	0.03283821044
87	0.03248732703
88	0.03191375898
89	0.03148385551
90	0.03096413803
91	0.0304755437
92	0.02973714542
93	0.02950001533
94	0.02882237907
95	0.0284920195
96	0.02799227453
97	0.02763750566
98	0.02731894625
99	0.02668392981
100	0.02631384162
101	0.02591480515
102	0.025577593
103	0.02528697759
104	0.02511986836
105	0.02492649104
106	0.02439860426
107	0.02405497821
108	0.02378475313
109	0.02358083321
110	0.02327093905
111	0.02293927435
112	0.02278546222
113	0.02255866702
114	0.02203145591
115	0.02163244122
116	0.02140976401
117	0.02120408608
118	0.02105630325
119	0.02083532772
120	0.02067894154
121	0.02042934036
122	0.01987969622
123	0.01922337277
124	0.01876931154
125	0.0184836416
126	0.01821349572
127	0.01803527628
128	0.01786432965
129	0.01776260408
130	0.01768266283
131	0.01742093086
132	0.01707643996
133	0.01673544292
134	0.01659451329
135	0.01643973827
136	0.01618946605
137	0.01605291336
138	0.01583722638
139	0.01562835342
140	0.01545997641
141	0.01526144609
142	0.01511333609
143	0.01489553828
144	0.01474994241
145	0.01443279604
146	0.01434483628
147	0.01422772642
148	0.01411196025
149	0.01397018557
150	0.01388213117
151	0.01379047088
152	0.01362082798
153	0.01353158981
154	0.01330869651
155	0.01312623829
156	0.01303410578
157	0.01276260525
158	0.01264654005
159	0.01250299922
160	0.01234283287
161	0.01199514744
162	0.0118510366
163	0.01171195763
164	0.01159170249
165	0.01149980754
166	0.0113241361
167	0.01125681322
168	0.01112597349
169	0.01102128749
170	0.01098768448
171	0.01093218504
172	0.01093213682
173	0.01083612717
174	0.01083607818
175	0.01080541026
176	0.01076981928
177	0.01060334328
178	0.01053262048
179	0.01045584895
180	0.01039232298
181	0.0102555818
182	0.01014257811
183	0.01009926075
184	0.009998344354
185	0.009922666225
186	0.009836108264
187	0.009836069378
188	0.009742609577
189	0.009675096265
190	0.009645257465
191	0.009502692001
192	0.009306704544
193	0.00922663401
194	0.009109324047
195	0.00906360452
196	0.008953117421
197	0.008897877878
198	0.008853802895
199	0.008762072948
200	0.008708953487
201	0.008647426539
202	0.008585153438
203	0.008509726708
204	0.008378074687
205	0.008280433517
206	0.008222430411
207	0.00813305013
208	0.008057025156
209	0.007957991459
210	0.007881805102
