iter	Passed	Remaining
420	2266	3116
421	2270	3110
422	2276	3104
423	2281	3098
424	2286	3092
425	2290	3086
426	2295	3080
427	2299	3073
428	2304	3066
429	2308	3060
430	2313	3054
431	2318	3048
432	2323	3042
433	2328	3037
434	2334	3032
435	2339	3026
436	2345	3021
437	2350	3015
438	2355	3010
439	2361	3005
440	2366	2999
441	2372	2994
442	2377	2989
443	2382	2983
444	2387	2977
445	2394	2973
446	2398	2967
447	2403	2961
448	2408	2955
449	2414	2950
450	2419	2945
451	2424	2939
452	2429	2933
453	2435	2929
454	2440	2922
455	2444	2916
456	2450	2911
457	2454	2905
458	2459	2899
459	2464	2893
460	2469	2887
461	2474	2881
462	2480	2876
463	2484	2870
464	2489	2864
465	2494	2858
466	2498	2851
467	2503	2845
468	2507	2839
469	2513	2833
470	2517	2827
471	2522	2821
472	2527	2816
473	2532	2810
474	2537	2804
475	2542	2798
476	2546	2792
477	2551	2786
478	2555	2779
479	2560	2773
480	2564	2767
481	2570	2762
482	2574	2756
483	2580	2750
484	2584	2744
485	2589	2738
486	2593	2732
487	2598	2725
488	2603	2720
489	2608	2714
490	2612	2708
491	2617	2702
492	2622	2696
493	2626	2690
494	2630	2683
495	2635	2677
496	2639	2671
497	2643	2665
498	2648	2659
499	2653	2653
500	2657	2647
501	2662	2641
502	2667	2635
503	2671	2629
504	2676	2623
505	2680	2617
506	2685	2611
507	2690	2605
508	2694	2599
509	2698	2593
510	2703	2587
511	2708	2581
512	2713	2575
513	2718	2570
514	2723	2564
515	2727	2558
516	2732	2552
517	2737	2547
518	2741	2541
519	2746	2535
520	2751	2529
521	2754	2522
522	2758	2515
523	2761	2508
524	2765	2501
525	2768	2495
526	2772	2488
527	2776	2481
528	2779	2475
529	2783	2468
530	2787	2461
531	2791	2455
532	2794	2448
533	2799	2443
534	2803	2436
535	2809	2432
536	2815	2427
537	2820	2422
538	2826	2417
539	2831	2412
540	2836	2406
541	2842	2402
542	2848	2397
543	2853	2392
544	2859	2387
545	2865	2382
546	2870	2377
547	2875	2371
548	2880	2366
549	2885	2361
550	2891	2356
551	2897	2351
552	2902	2346
553	2907	2340
554	2912	2335
555	2917	2329
556	2922	2324
557	2926	2318
558	2931	2312
559	2936	2307
560	2941	2301
561	2945	2295
562	2950	2290
563	2955	2284
564	2959	2278
565	2964	2273
566	2969	2267
567	2973	2261
568	2977	2255
569	2982	2249
570	2986	2243
571	2990	2237
572	2994	2231
573	2998	2225
574	3002	2219
575	3006	2213
576	3011	2207
577	3015	2201
578	3019	2195
579	3024	2190
580	3028	2184
581	3032	2178
582	3036	2171
583	3041	2166
